연도,순위,제목,감독,주연1,주연2,개봉일,관객수,장르,수상
2013,1,7번방의 선물,이환경,류승룡,박신혜,2013.01.23,12812186,드라마,황금촬영상
2013,2,설국열차,봉준호,크리스 에반스,송강호,2013.08.01,9354547,SF/액션/드라마,미국비평가협회상
2013,3,관상,한재림,송강호,이정재,2013.09.11,9135806,시대극,백상예술대상
2013,4,아이언맨 3,셰인 블랙,로버트 다우니 주니어,기네스 팰트로,2013.04.25,9001679,액션/SF,확인불가
2013,5,베를린,류승완,하정우,한석규,2013.01.30,7166688,액션/드라마,부산영화평론가협회상
2013,6,은밀하게 위대하게,장철수,김수현,박기웅,2013.06.05,6959083,액션/드라마/코미디,백상예술대상
2013,7,변호인,양우석,송강호,김영애,2013.12.18,11375399,드라마,청룡영화상
2013,8,숨바꼭질,허정,손현주,전미선,2013.08.14,5604106,스릴러,황금촬영상
2013,9,더 테러 라이브,김병우,하정우,이경영,2013.07.31,5584295,스릴러,황금촬영상
2013,10,감시자들,조의석,김병서,설경구,2013.07.03,5509019,범죄/액션,백상예술대상
2013,11,월드 워 Z,마크 포스터,브래드 피트,미레일리 이노스,2013.06.20,5244336,스릴러/SF/액션/어드벤처/공포,MTV 영화 & TV 상
2013,12,신세계,박훈정,이정재,최민식,2013.02.21,4690270,범죄/드라마,청룡영화상
2013,13,박수건달,조진규,박신양,김정태,2013.01.09,3897969,코미디,후쿠오카국제영화제
2013,14,스파이,이승준,설경구,문소리,2013.09.05,3436092,코미디/액션,확인불가
2013,15,그래비티,알폰소 쿠아론,산드라 블록,조지 클루니,2013.10.17,3313307,SF/드라마,아카데미시상식
2013,16,타워,김지훈,설경구,손예진,2012.12.25,5181244,드라마,대종상영화제
2013,17,감기,김성수,장혁,수애,2013.08.14,3117859,드라마/어드벤처/액션,확인불가
2013,18,토르: 다크 월드,알랜 테일러,나탈리 포트만,톰 히들스턴,2013.10.30,3040115,어드벤처/판타지,확인불가
2013,19,레드: 더 레전드,딘 패리소,브루스 윌리스,존 말코비치,2013.07.18,3004649,액션/코미디/범죄,확인불가
2013,20,친구 2,곽경택,유오성,주진모,2013.11.14,2971475,액션,청룡영화상
2013,21,어바웃 타임,리차드 커티스,도널 글리슨,레이첼 맥아담스,2013.12.05,3454200,로맨스/멜로/코미디,산세바스티안국제영화제
2013,22,나우 유 씨 미 : 마술사기단,루이스 리터리어,제시 아이젠버그,마크 러팔로,2013.08.22,2718237,범죄/액션/스릴러,확인불가
2013,23,소원,이준익,설경구,엄지원,2013.10.02,2711144,드라마,지포니영화제
2013,24,레미제라블,톰 후퍼,휴 잭맨,러셀 크로우,2012.12.19,5942530,드라마/뮤지컬,일본아카데미상
2013,25,퍼시픽 림,기예르모 델 토로,찰리 허냄,이드리스 엘바,2013.07.11,2539115,SF/액션/어드벤처,확인불가
2013,26,화이: 괴물을 삼킨 아이,장준환,김윤석,여진구,2013.10.09,2394603,액션/스릴러,시체스국제판타스틱영화제
2013,27,컨저링,제임스 완,베라 파미가,패트릭 윌슨,2013.09.17,2264314,공포,확인불가
2013,28,맨 오브 스틸,잭 스나이더,헨리 카빌,에이미 아담스,2013.06.13,2182227,액션/어드벤처/판타지,MTV 영화 & TV 상
2013,29,용의자,원신연,공유,박희순,2013.12.24,4131338,액션/드라마,한국영화평론가협회상
2013,30,호빗: 스마우그의 폐허,피터 잭슨,마틴 프리먼,이안 맥켈런,2013.12.12,2288265,어드벤처/판타지,MTV 영화 & TV 상
2013,31,몽타주,정근섭,엄정화,김상경,2013.05.16,2095592,스릴러/드라마,대종상영화제
2013,32,터보,데이빗 소렌,라이언 레이놀즈,폴 지아마티,2013.07.25,1925154,애니메이션/어드벤처/코미디,확인불가
2013,33,연애의 온도,노덕,이민기,김민희,2013.03.21,1865354,로맨스/멜로,올해의 여성영화인상
2013,34,지.아이.조 2,존 추,브루스 윌리스,드웨인 존슨,2013.03.28,1855917,액션/어드벤처,확인불가
2013,35,분노의 질주: 더 맥시멈,저스틴 린,빈 디젤,폴 워커,2013.05.22,1790457,액션/범죄,MTV 영화 & TV 상
2013,36,공범,국동석,손예진,김갑수,2013.10.24,1766285,스릴러,황금촬영상
2013,37,집으로 가는 길,방은진,전도연,고수,2013.12.11,1854869,드라마,황금촬영상
2013,38,전설의 주먹,강우석,황정민,유준상,2013.04.10,1744585,액션/드라마,확인불가
2013,39,파파로티,윤종찬,한석규,이제훈,2013.03.14,1716438,드라마,제천국제음악영화제
2013,40,스타트렉 다크니스,J.J. 에이브람스,크리스 파인,재커리 퀸토,2013.05.29,1607555,액션/어드벤처/SF,확인불가
2013,41,라이프 오브 파이,이안,수라즈 샤르마,이르판 칸,2013.01.01,1646997,어드벤처/드라마,MTV 영화 & TV 상
2013,42,오블리비언,조셉 코신스키,톰 크루즈,모건 프리먼,2013.04.11,1515356,SF/액션,확인불가
2013,43,위대한 개츠비,바즈 루어만,레오나르도 디카프리오,토비 맥과이어,2013.05.16,1450368,로맨스/멜로/드라마,아카데미시상식
2013,44,다이하드: 굿 데이 투 다이,존 무어,브루스 윌리스,제이 코트니,2013.02.06,1438056,액션/범죄/스릴러,확인불가
2013,45,런닝맨,조동오,신하균,이태리,2013.04.04,1422844,액션,확인불가
2013,46,미스터 고,김용화,링링,성동일,2013.07.17,1329061,드라마/코미디/액션,아시아필름어워즈
2013,47,결혼전야,홍지영,김강우,김효진,2013.11.21,1214839,로맨스/멜로,확인불가
2013,48,깡철이,안권태,유아인,김해숙,2013.10.02,1209363,가족,확인불가
2013,49,엘리시움,닐 블롬캠프,맷 데이먼,조디 포스터,2013.08.29,1207732,SF/액션/드라마,확인불가
2013,50,더 웹툰: 예고살인,김용균,이시영,엄기준,2013.06.27,1200772,공포/스릴러,확인불가
2014,1,명량,김한민,최민식,류승룡,2014.07.30,17616037,액션/드라마,백상예술대상
2014,2,겨울왕국,크리스 벅,제니퍼 리,박지윤,2014.01.16,10305051,애니메이션/어드벤처/가족,확인불가
2014,3,인터스텔라,크리스토퍼 놀란,매튜 맥커너히,앤 해서웨이,2014.11.06,10342523,SF,맥스무비 최고의 영화상
2014,4,해적: 바다로 간 산적,이석훈,김남길,손예진,2014.08.06,8666208,어드벤처,백상예술대상
2014,5,수상한 그녀,황동혁,심은경,나문희,2014.01.22,8662080,코미디/드라마,맥스무비 최고의 영화상
2014,6,변호인,양우석,송강호,김영애,2013.12.18,11375399,드라마,청룡영화상
2014,7,국제시장,윤제균,황정민,김윤진,2014.12.17,14265222,드라마,한국영화제작가협회상
2014,8,트랜스포머: 사라진 시대,마이클 베이,마크 월버그,니콜라 펠츠,2014.06.25,5295836,SF,골든라즈베리시상식
2014,9,군도: 민란의 시대,윤종빈,하정우,강동원,2014.07.23,4775924,액션,춘사국제영화제
2014,10,엣지 오브 투모로우,더그 라이만,톰 크루즈,에밀리 블런트,2014.06.04,4706213,액션/SF,크리틱스 초이스 시상식
2014,11,엑스맨: 데이즈 오브 퓨처 패스트,브라이언 싱어,휴 잭맨,제임스 맥어보이,2014.05.22,4313871,액션/어드벤처/판타지,확인불가
2014,12,어메이징 스파이더맨 2,마크 웹,앤드류 가필드,엠마 스톤,2014.04.23,4168353,액션/어드벤처/판타지,확인불가
2014,13,타짜-신의 손,강형철,T.O.P,신세경,2014.09.03,4015361,드라마,청룡영화상
2014,14,혹성탈출: 반격의 서막,매트 리브스,앤디 서키스,제이슨 클라크,2014.07.10,4002560,SF/액션/드라마/스릴러,새틀라이트시상식
2014,15,캡틴 아메리카: 윈터 솔져,조 루소,앤서니 루소,크리스 에반스,2014.03.26,3964965,액션/어드벤처/SF,워싱턴비평가협회상
